X,Y,NAME,WEB_URL,ADDRESS,LINE,TRAININFO_URL,SE_ANNO_CAD_DATA,GLOBALID,GIS_ID,OBJECTID,CREATOR,CREATED,EDITOR,EDITED
-77.2338802,38.92096318,Greensboro,https://www.wmata.com/rider-guide/stations/greensboro.cfm,"8305 LEESBURG PIKE VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N03|Greensboro,,{D5220161-5D5D-4289-AC6F-96916210C1FA},MetroStnFullPt_31,31,,,,
-76.99593919,38.92106748,Rhode Island Ave,https://www.wmata.com/rider-guide/stations/rhode-island-ave.cfm,"919 RHODE ISLAND AVENUE NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B04|Rhode%20Island%20Ave-Brentwood,,{96060E28-A62C-4006-9CBB-0B511C71193E},MetroStnFullPt_32,32,,,,
-77.22171803,38.92068205,Tysons Corner,https://www.wmata.com/rider-guide/stations/tysons-corner.cfm,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N02|Tysons%20Corner,,{1D2DD6DA-17AC-4B78-A2E2-71FD8E25DCEB},MetroStnFullPt_33,33,,,,
-77.02749818,38.91701019,U St/African-Amer Civil War Memorial/Cardozo,https://www.wmata.com/rider-guide/stations/u-street.cfm,"1300 U STREET NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E03|U%20Street/African-Amer%20Civil%20War%20Memorial/Cardozo,,{D2B6D30F-143D-4E6E-88E9-A5E4F6E6CBF3},MetroStnFullPt_34,34,,,,
-76.9166303,38.91663965,Cheverly,https://www.wmata.com/rider-guide/stations/cheverly.cfm,"5501 COLUMBIA PARK, CHEVERLY, MD 
",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D11|Cheverly,,{5114F493-FE55-4BE7-A585-F6AC180B2FD8},MetroStnFullPt_35,35,,,,
-77.02191399,38.91348466,Shaw-Howard Univ,https://www.wmata.com/rider-guide/stations/shaw-howard.cfm,"1701 8TH STREET NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E02|Shaw-Howard%20U,,{8C473F61-4B42-498B-9642-210930944FF2},MetroStnFullPt_36,36,,,,
-77.04341665,38.90960585,Dupont Circle,https://www.wmata.com/rider-guide/stations/dupont-circle.cfm,"1525 20TH STREET NW, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#A03|Dupont Circle,,{3C45C08F-1860-4540-85CC-565182B2F54B},MetroStnFullPt_37,37,,,,
-76.93525904,38.90818629,Deanwood,https://www.wmata.com/rider-guide/stations/deanwood.cfm,"4720 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D10|Deanwood,,{DAC185CD-4904-4415-A2C0-EACFED9A915E},MetroStnFullPt_38,38,,,,
-77.00302273,38.907024,NoMa - Gallaudet U,https://www.wmata.com/rider-guide/stations/new-york-ave.cfm,"200 FLORIDA AVENUE NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B35|NoMa-Gallaudet U,,{4D432E86-24D1-4C92-B83A-183F895D0B13},MetroStnFullPt_39,39,,,,
-77.02191667,38.9064446,Mt Vernon Sq - 7th St Convention Center,https://www.wmata.com/rider-guide/stations/mt-vernon-sq.cfm,"700 M STREET NW, WASHINGTON, DC","green, yellow",https://www.wmata.com/js/nexttrain/nexttrain.html#E01|Mt Vernon Sq 7th St-Convention Center,,{3FF5C088-2316-4212-8D96-0266547398D0},MetroStnFullPt_40,40,,,,
