,Unnamed: 0.1,Unnamed: 0,BATHRM,HF_BATHRM,AC,NUM_UNITS,ROOMS,BEDRM,EYB,STORIES,PRICE,STRUCT,CNDTN,KITCHENS,FIREPLACES,LANDAREA,FULLADDRESS,CITY,STATE,ZIPCODE,NATIONALGRID,LATITUDE,LONGITUDE,ASSESSMENT_SUBNBHD,WARD,SQUARE,X,Y,QUADRANT,year,"('distance', '.25metro', '.50metro')",distance2
9496,131774,131774,1,0,Y,,3,1,2003,,455000.0,,,,0,126,,,,20005.0,,38.9091668,-77.03285043,040 E Old City 2,Ward 2,210,-77.03285271861816,38.90917425471374,NW,2017,0.5420110361504259,0.30206722003841296
9497,131789,131789,2,0,Y,,4,2,1919,,,,,,0,392,,,,20009.0,,38.91874778,-77.03078775,040 F Old City 2,Ward 1,235,-77.03079004818106,38.91875523740519,NW,2017,0.2135937796633308,0.30206722003841296
9498,131790,131790,1,1,Y,,3,1,1919,,680000.0,,,,0,314,,,,20009.0,,38.91874778,-77.03078775,040 F Old City 2,Ward 1,235,-77.03079004818106,38.91875523740519,NW,2017,0.2135937796633308,0.2881877557066526
9499,131805,131805,1,1,Y,,3,1,2005,,,,,,0,313,,,,20009.0,,38.91742437,-77.03125394,040 F Old City 2,Ward 1,236,-77.0312562330419,38.917431829543546,NW,2017,0.2037795163151062,0.2881877557066526
9500,131817,131817,1,0,Y,,3,1,2005,,425000.0,,,,0,190,,,,20009.0,,38.91742437,-77.03125394,040 F Old City 2,Ward 1,236,-77.0312562330419,38.917431829543546,NW,2017,0.2037795163151062,0.5539071298522007
9501,131828,131828,1,0,Y,,2,0,1964,,,,,,0,99,,,,20005.0,,38.907013065,-77.03357597499999,040 C Old City 2,Ward 2,212,-77.03357827059531,38.90702052141199,NW,2017,0.3916714876660687,0.5539071298522007
9502,131843,131843,1,0,Y,,2,0,1964,,241000.0,,,,0,86,,,,20005.0,,38.907013065,-77.03357597499999,040 C Old City 2,Ward 2,212,-77.03357827059531,38.90702052141199,NW,2017,0.3916714876660687,0.6829217529840382
9503,131865,131865,2,1,Y,,4,2,1919,,1150000.0,,,,0,720,,,,20005.0,,38.910493845,-77.03076281,040 E Old City 2,Ward 2,241,-77.03076509634144,38.91050129925693,NW,2017,0.48289860255481776,0.6829217529840382
9504,131867,131867,3,1,Y,,5,3,1919,,2030000.0,,,,0,1080,,,,20005.0,,38.910493845,-77.03076281,040 E Old City 2,Ward 2,241,-77.03076509634144,38.91050129925693,NW,2017,0.48289860255481776,0.6829217529840382
9505,131868,131868,2,1,Y,,4,2,1919,,1295000.0,,,,0,720,,,,20005.0,,38.910493845,-77.03076281,040 E Old City 2,Ward 2,241,-77.03076509634144,38.91050129925693,NW,2017,0.48289860255481776,0.6829217529840382
9506,131869,131869,2,0,Y,,4,2,1919,,1595000.0,,,,0,660,,,,20005.0,,38.910493845,-77.03076281,040 E Old City 2,Ward 2,241,-77.03076509634144,38.91050129925693,NW,2017,0.48289860255481776,0.6829217529840382
9507,131870,131870,3,1,Y,,5,3,1919,,2495000.0,,,,0,1080,,,,20005.0,,38.910493845,-77.03076281,040 E Old City 2,Ward 2,241,-77.03076509634144,38.91050129925693,NW,2017,0.48289860255481776,0.7341862682497351
9508,131873,131873,1,0,Y,,3,1,1900,,350000.0,,,,0,249,,,,20005.0,,38.90872038,-77.03112593,040 E Old City 2,Ward 2,242,-77.03112822103574,38.90872783642995,NW,2017,0.5191480889334333,0.7341862682497351
